User ID,Username,Role,Action,Timestamp,IP Address
18,kiran,scrum master,Login,2025-01-09 16:22:00,127.0.0.1
19,kaushik,team member,Login,2025-01-09 16:27:00,127.0.0.1
14,aakash,admin,Logout,2025-01-09 16:28:00,127.0.0.1
18,kiran,scrum master,Logout,2025-01-09 16:43:00,127.0.0.1
19,kaushik,team member,Logout,2025-01-09 16:52:00,127.0.0.1
17,abhinav,team member,Login,2025-01-09 16:57:00,127.0.0.1
17,abhinav,team member,Logout,2025-01-09 17:05:00,127.0.0.1
18,kiran,scrum master,Login,2025-01-09 17:15:00,127.0.0.1
16,sinchina,product owner,Login,2025-01-09 17:31:00,127.0.0.1
18,kiran,scrum master,Logout,2025-01-09 17:57:00,127.0.0.1
17,abhinav,team member,Login,2025-01-09 17:58:00,127.0.0.1
14,aakash,admin,Login,2025-01-09 18:04:00,127.0.0.1
17,abhinav,team member,Logout,2025-01-09 18:04:00,127.0.0.1
19,kaushik,team member,Login,2025-01-09 18:13:00,127.0.0.1
16,sinchina,product owner,Logout,2025-01-09 18:31:00,127.0.0.1
19,kaushik,team member,Logout,2025-01-09 18:43:00,127.0.0.1
14,aakash,admin,Logout,2025-01-09 18:46:00,127.0.0.1
18,kiran,scrum master,Login,2025-01-09 19:05:00,127.0.0.1
17,abhinav,team member,Login,2025-01-09 19:19:00,127.0.0.1
18,kiran,scrum master,Logout,2025-01-09 19:31:00,127.0.0.1
17,abhinav,team member,Logout,2025-01-09 19:38:00,127.0.0.1
19,kaushik,team member,Login,2025-01-09 19:55:00,127.0.0.1
16,sinchina,product owner,Login,2025-01-09 20:03:00,127.0.0.1
19,kaushik,team member,Logout,2025-01-09 20:12:00,127.0.0.1
14,aakash,admin,Login,2025-01-09 20:20:00,127.0.0.1
16,sinchina,product owner,Logout,2025-01-09 20:45:00,127.0.0.1
14,aakash,admin,Logout,2025-01-09 20:55:00,127.0.0.1
16,sinchina,product owner,Login,2025-01-09 20:59:00,127.0.0.1
19,kaushik,team member,Login,2025-01-09 21:27:00,127.0.0.1
17,abhinav,team member,Login,2025-01-09 21:29:00,127.0.0.1
18,kiran,scrum master,Login,2025-01-09 21:29:00,127.0.0.1
16,sinchina,product owner,Logout,2025-01-09 21:38:00,127.0.0.1
14,aakash,admin,Login,2025-01-09 21:53:00,127.0.0.1
14,aakash,admin,Logout,2025-01-09 22:08:00,127.0.0.1
17,abhinav,team member,Logout,2025-01-09 22:10:00,127.0.0.1
19,kaushik,team member,Logout,2025-01-09 22:23:00,127.0.0.1
18,kiran,scrum master,Logout,2025-01-09 22:28:00,127.0.0.1
19,kaushik,team member,Login,2025-01-09 22:29:00,127.0.0.1
16,sinchina,product owner,Login,2025-01-09 23:04:00,127.0.0.1
14,aakash,admin,Login,2025-01-09 23:10:00,127.0.0.1
19,kaushik,team member,Logout,2025-01-09 23:13:00,127.0.0.1
16,sinchina,product owner,Logout,2025-01-09 23:15:00,127.0.0.1
17,abhinav,team member,Login,2025-01-09 23:34:00,127.0.0.1
14,aakash,admin,Logout,2025-01-09 23:48:00,127.0.0.1
18,kiran,scrum master,Login,2025-01-09 23:55:00,127.0.0.1
18,kiran,scrum master,Logout,2025-01-10 00:25:00,127.0.0.1
16,sinchina,product owner,Login,2025-01-10 00:28:00,127.0.0.1
14,aakash,admin,Login,2025-01-10 00:28:00,127.0.0.1
17,abhinav,team member,Logout,2025-01-10 00:31:00,127.0.0.1
18,kiran,scrum master,Login,2025-01-10 00:48:00,127.0.0.1
19,kaushik,team member,Login,2025-01-10 00:50:00,127.0.0.1
19,kaushik,team member,Logout,2025-01-10 00:58:00,127.0.0.1
18,kiran,scrum master,Logout,2025-01-10 01:05:00,127.0.0.1
16,sinchina,product owner,Logout,2025-01-10 01:15:00,127.0.0.1
14,aakash,admin,Logout,2025-01-10 01:20:00,127.0.0.1
18,kiran,scrum master,Login,2025-01-10 01:27:00,127.0.0.1
18,kiran,scrum master,Logout,2025-01-10 01:43:00,127.0.0.1
16,sinchina,product owner,Login,2025-01-10 01:51:00,127.0.0.1
16,sinchina,product owner,Logout,2025-01-10 02:02:00,127.0.0.1
17,abhinav,team member,Login,2025-01-10 02:26:00,127.0.0.1
19,kaushik,team member,Login,2025-01-10 02:30:00,127.0.0.1
17,abhinav,team member,Logout,2025-01-10 02:50:00,127.0.0.1
16,sinchina,product owner,Login,2025-01-10 03:06:00,127.0.0.1
14,aakash,admin,Login,2025-01-10 03:16:00,127.0.0.1
14,aakash,admin,Logout,2025-01-10 03:17:00,127.0.0.1
18,kiran,scrum master,Login,2025-01-10 03:23:00,127.0.0.1
19,kaushik,team member,Logout,2025-01-10 03:27:00,127.0.0.1
16,sinchina,product owner,Logout,2025-01-10 03:31:00,127.0.0.1
18,kiran,scrum master,Logout,2025-01-10 03:59:00,127.0.0.1
17,abhinav,team member,Login,2025-01-10 04:08:00,127.0.0.1
16,sinchina,product owner,Login,2025-01-10 04:10:00,127.0.0.1
17,abhinav,team member,Logout,2025-01-10 04:21:00,127.0.0.1
19,kaushik,team member,Login,2025-01-10 04:40:00,127.0.0.1
16,sinchina,product owner,Logout,2025-01-10 05:10:00,127.0.0.1
18,kiran,scrum master,Login,2025-01-10 05:12:00,127.0.0.1
18,kiran,scrum master,Logout,2025-01-10 05:29:00,127.0.0.1
19,kaushik,team member,Logout,2025-01-10 05:29:00,127.0.0.1
17,abhinav,team member,Login,2025-01-10 05:56:00,127.0.0.1
17,abhinav,team member,Logout,2025-01-10 06:01:00,127.0.0.1
19,kaushik,team member,Login,2025-01-10 06:08:00,127.0.0.1
16,sinchina,product owner,Login,2025-01-10 06:36:00,127.0.0.1
19,kaushik,team member,Logout,2025-01-10 06:58:00,127.0.0.1
18,kiran,scrum master,Login,2025-01-10 07:09:00,127.0.0.1
16,sinchina,product owner,Logout,2025-01-10 07:21:00,127.0.0.1
18,kiran,scrum master,Logout,2025-01-10 07:47:00,127.0.0.1
